"id","id_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comentario"
"1","127.0.0.1","2","https://facebook.com","boton","2025-11-10 15:08:00","sin comentarios"
"2","192.168.1.24","1","Google Ads","Home_Page","2025-11-01 11:15:00","Inicio de sesion"
"3","192.168.1.24","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 11:15:18","Navegando catalogo"
"4","192.168.1.24","2","Google Ads","btn_agregar_carrito","2025-11-01 11:15:20","Interaccion interfaz"
"5","192.168.1.24","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 11:16:05","Navegando catalogo"
"6","192.168.1.24","3","Google Ads","vista_Zapatillas_Urban","2025-11-01 11:16:28","Navegando catalogo"
"7","192.168.1.24","3","Google Ads","vista_Chaqueta_Cuero","2025-11-01 11:17:09","Navegando catalogo"
"8","192.168.1.24","3","Google Ads","vista_Jean_Slim_Negro","2025-11-01 11:17:29","Navegando catalogo"
"9","192.168.1.24","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-01 11:17:50","Venta Exitosa"
"10","192.168.1.36","1","Google Ads","Home_Page","2025-11-01 11:57:00","Inicio de sesion"
"11","192.168.1.36","3","Google Ads","vista_Jean_Slim_Negro","2025-11-01 11:57:16","Navegando catalogo"
"12","192.168.1.36","2","Google Ads","link_menu_hombres","2025-11-01 11:57:18","Interaccion interfaz"
"13","192.168.1.36","3","Google Ads","vista_Zapatillas_Urban","2025-11-01 11:57:24","Navegando catalogo"
"14","192.168.1.36","2","Google Ads","btn_ver_tallas","2025-11-01 11:57:26","Interaccion interfaz"
"15","192.168.1.36","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 11:58:04","Navegando catalogo"
"16","192.168.1.36","2","Google Ads","img_zoom","2025-11-01 11:58:06","Interaccion interfaz"
"17","192.168.1.36","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 11:58:40","Navegando catalogo"
"18","192.168.1.36","2","Google Ads","img_zoom","2025-11-01 11:58:42","Interaccion interfaz"
"19","192.168.1.36","5","Google Ads","btn_cancelar_checkout","2025-11-01 11:59:36","Abandono en pago"
"20","192.168.1.14","1","Newsletter","Home_Page","2025-11-01 13:17:00","Inicio de sesion"
"21","192.168.1.14","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 13:17:34","Navegando catalogo"
"22","192.168.1.14","3","Newsletter","vista_Zapatillas_Urban","2025-11-01 13:17:56","Navegando catalogo"
"23","192.168.1.29","1","Facebook","Home_Page","2025-11-01 14:55:00","Inicio de sesion"
"24","192.168.1.29","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-01 14:55:12","Navegando catalogo"
"25","192.168.1.29","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-01 14:55:43","Navegando catalogo"
"26","192.168.1.29","2","Facebook","img_zoom","2025-11-01 14:55:45","Interaccion interfaz"
"27","192.168.1.43","1","Instagram Bio","Home_Page","2025-11-01 15:44:00","Inicio de sesion"
"28","192.168.1.43","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 15:44:37","Navegando catalogo"
"29","192.168.1.43","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-01 15:44:47","Navegando catalogo"
"30","192.168.1.43","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-01 15:44:55","Navegando catalogo"
"31","192.168.1.43","2","Instagram Bio","link_menu_hombres","2025-11-01 15:44:57","Interaccion interfaz"
"32","192.168.1.43","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-01 15:45:42","Navegando catalogo"
"33","192.168.1.43","5","Instagram Bio","btn_cancelar_checkout","2025-11-01 15:46:33","Abandono en pago"
"34","192.168.1.44","1","Facebook","Home_Page","2025-11-01 18:33:00","Inicio de sesion"
"35","192.168.1.44","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-01 18:33:15","Navegando catalogo"
"36","192.168.1.7","1","Newsletter","Home_Page","2025-11-01 19:15:00","Inicio de sesion"
"37","192.168.1.7","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 19:15:28","Navegando catalogo"
"38","192.168.1.7","2","Newsletter","btn_ver_tallas","2025-11-01 19:15:30","Interaccion interfaz"
"39","192.168.1.7","3","Newsletter","vista_Zapatillas_Urban","2025-11-01 19:15:51","Navegando catalogo"
"40","192.168.1.14","1","Instagram Bio","Home_Page","2025-11-01 21:45:00","Inicio de sesion"
"41","192.168.1.14","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 21:45:41","Navegando catalogo"
"42","192.168.1.14","2","Instagram Bio","btn_ver_tallas","2025-11-01 21:45:43","Interaccion interfaz"
"43","192.168.1.20","1","Google Ads","Home_Page","2025-11-01 23:21:00","Inicio de sesion"
"44","192.168.1.20","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 23:21:45","Navegando catalogo"
"45","192.168.1.20","2","Google Ads","btn_agregar_carrito","2025-11-01 23:21:47","Interaccion interfaz"
"46","192.168.1.12","1","Facebook","Home_Page","2025-11-02 02:05:00","Inicio de sesion"
"47","192.168.1.12","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-02 02:05:21","Navegando catalogo"
"48","192.168.1.12","2","Facebook","img_zoom","2025-11-02 02:05:23","Interaccion interfaz"
"49","192.168.1.18","1","Directo","Home_Page","2025-11-02 03:34:00","Inicio de sesion"
"50","192.168.1.18","3","Directo","vista_Vestido_Verano_Floral","2025-11-02 03:34:40","Navegando catalogo"
"51","192.168.1.18","3","Directo","vista_Vestido_Verano_Floral","2025-11-02 03:35:18","Navegando catalogo"
"52","192.168.1.49","1","Google Ads","Home_Page","2025-11-02 05:52:00","Inicio de sesion"
"53","192.168.1.49","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 05:52:39","Navegando catalogo"
"54","192.168.1.39","1","Facebook","Home_Page","2025-11-02 06:55:00","Inicio de sesion"
"55","192.168.1.39","3","Facebook","vista_Zapatillas_Urban","2025-11-02 06:55:24","Navegando catalogo"
"56","192.168.1.39","2","Facebook","btn_agregar_carrito","2025-11-02 06:55:26","Interaccion interfaz"
"57","192.168.1.39","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-02 06:55:37","Navegando catalogo"
"58","192.168.1.39","2","Facebook","img_zoom","2025-11-02 06:55:39","Interaccion interfaz"
"59","192.168.1.39","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 06:56:18","Navegando catalogo"
"60","192.168.1.39","2","Facebook","img_zoom","2025-11-02 06:56:20","Interaccion interfaz"
"61","192.168.1.39","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-02 06:56:32","Navegando catalogo"
"62","192.168.1.39","2","Facebook","img_zoom","2025-11-02 06:56:34","Interaccion interfaz"
"63","192.168.1.39","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 06:57:19","Navegando catalogo"
"64","192.168.1.39","4","Facebook","btn_finalizar_pago_exitoso","2025-11-02 06:58:11","Venta Exitosa"
"65","192.168.1.14","1","Newsletter","Home_Page","2025-11-02 07:58:00","Inicio de sesion"
"66","192.168.1.14","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 07:58:08","Navegando catalogo"
"67","192.168.1.14","2","Newsletter","btn_ver_tallas","2025-11-02 07:58:10","Interaccion interfaz"
"68","192.168.1.14","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 07:58:25","Navegando catalogo"
"69","192.168.1.14","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 07:58:45","Navegando catalogo"
"70","192.168.1.14","2","Newsletter","btn_ver_tallas","2025-11-02 07:58:47","Interaccion interfaz"
"71","192.168.1.14","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 07:59:29","Navegando catalogo"
"72","192.168.1.14","5","Newsletter","btn_cancelar_checkout","2025-11-02 08:00:04","Abandono en pago"
